category,CD
HRH,10.8333
HRH,2.4667
HRH,3.1250
HRH,6.7857
ARH,125.8000
ARH,35.0714
ARH,39.7778
ARH,21.8667
ARH,4.4902
ARH,28.9333
ARH,63.6667
ARH,33.3000
ARH,40.2500
ARH,30.7000
ARH,21.3333
ARH,23.3571
ARH,10.5152
ARH,17.4545
ARH,28.1250
ARH,34.1111
ARH,15.3333
ARH,27.6667
ARH,33.1000
ARH,35.3333
ARH,29.4444
ARH,28.1111
ARH,26.4444
ARH,30.1333
ARH,40.3846
ARH,23.1667
ARH,35.8182
ARH,57.2000
ARH,48.7857
ARH,37.6111
ARH,34.4545
ARH,29.5000
ARH,33.6296
HRH,6.2857
HRH,1.1429
HRH,6.5000
ARH,45.6923
ARH,25.0556
ARH,12.9333
ARH,27.3750
ARH,52.6250
ARH,30.2857
ARH,29.4545
HRH,3.3200
HRH,0.1429
HRH,8.6667
HRH,3.0000
HRH,7.8462
HRH,2.2222
HRH,3.0000
HRH,1.5556
HRH,1.1250
HRH,2.4000
HRH,0.2083
HRH,8.6667
HRH,3.3333
HRH,1.5238
HRH,6.2727
HRH,1.3333
HRH,5.2500
HRH,6.5556
HRH,3.2222
HRH,1.7500
HRH,1.4444
HRH,1.5556
HRH,2.3750
HRH,0.2222
HRH,0.4444
HRH,0.8889
HRH,0.5556
HRH,0.6667
HRH,0.8333
ARH,10.4333
ARH,11.1579
HRH,3.0000
ARH,36.7500
ARH,14.0833
ARH,32.0769
ARH,35.3333
ARH,31.1538
ARH,24.7500
ARH,22.0000
ARH,10.2258
ARH,23.6923
ARH,21.5500
ARH,26.1667
HRH,2.5556
HRH,0.6250
HRH,0.9333
HRH,1.7647
HRH,2.0714
HRH,1.6000
HRH,0.7778
HRH,6.4444
ARH,31.5556
HRH,5.0000
ARH,32.5238
ARH,41.5385
ARH,27.7143
ARH,23.3077
HRH,5.1111
ARH,33.0000
ARH,137.6364
ARH,38.7000
HRH,1.1765
ARH,35.8889
HRH,2.9000
ARH,50.3750
HRH,2.6667
HRH,0.0148
HRH,6.4545
HRH,9.1111
ARH,31.5000
ARH,46.1818
ARH,10.0000
ARH,35.6000
ARH,36.1667
ARH,19.5294
ARH,34.3571
ARH,26.4000
ARH,24.6923
ARH,67.0000
ARH,42.0625
ARH,46.2727
ARH,46.6000
HRH,1.3478
HRH,1.0000
HRH,0.5769
HRH,9.8333
HRH,30.7143
HRH,2.7778
HRH,2.8182
HRH,1.7500
HRH,1.8750
HRH,3.3333
HRH,1.2727
HRH,0.9032
HRH,3.1250
HRH,2.9167
HRH,2.1111
HRH,0.8333
HRH,2.9286
HRH,0.5714
HRH,1.7500
HRH,2.3125
HRH,2.7000
HRH,0.2941
HRH,9.0000
HRH,0.2174
HRH,4.7692
HRH,0.2632
HRH,0.6364
HRH,3.6250
HRH,7.6667
HRH,0.2857
HRH,3.6667
HRH,13.0000
HRH,1.8750
