repo,pr_id,thread_id,path,review_category,language,old_is_applied,old_similarity,old_before_similarity,old_matched_commit,old_commit_lines,final_is_applied,final_similarity,final_before_similarity,final_commit_sha,final_commit_lines,final_commit_added_lines,aggregated_lines_total,deduplicated_lines_total,status_changed,change_type,similarity_diff,sug_startline,sug_LOC
Altinn/altinn-studio,14516,2071372531,frontend/packages/shared/src/types/ComponentSpecificConfig.ts,HRH,ts,True,1.0000,0.2000,31c68f5,53-53,True,0.9872,1.0000,31c68f5,53-53,4,22,18,NO,CONFIRMED_STABLE,-0.0128,53,1
Altinn/altinn-studio,14516,2071372721,frontend/packages/shared/src/types/ComponentSpecificConfig.ts,HRH,ts,True,1.0000,0.2000,31c68f5,57-57,True,0.9846,0.8114,31c68f5,57-57,4,22,18,NO,CONFIRMED_STABLE,-0.0154,57,1
Altinn/altinn-studio,14516,2071372826,frontend/packages/shared/src/types/ComponentSpecificConfig.ts,HRH,ts,True,1.0000,0.2000,31c68f5,58-58,True,0.9850,1.0000,31c68f5,58-58,4,22,18,NO,CONFIRMED_STABLE,-0.0150,58,1
Altinn/altinn-studio,15228,2062988317,frontend/packages/ux-editor/src/components/config/FormComponentConfig.tsx,HRH,tsx,True,0.5000,0.4000,f6b0e1e,336-337,True,0.6678,0.9910,ec44861,356-358,6,130,101,NO,CONFIRMED_DIFFERENT_SCORE,0.1678,339,4
Altinn/altinn-studio,15231,2104047779,frontend/packages/process-editor/src/components/ConfigPanel/ConfigContent/ConfigContent.tsx,HRH,tsx,True,1.0000,0.7143,8ea1678,21-21,True,1.0000,0.7891,c3a6da9,21-21,4,21,16,NO,CONFIRMED_STABLE,0.0000,21,1
Altinn/altinn-studio,15231,2104047940,frontend/packages/process-editor/src/components/ConfigPanel/ConfigContent/ConfigContent.tsx,HRH,tsx,True,1.0000,0.7143,97caf0a,22-22,True,1.0000,0.7931,c3a6da9,22-22,4,21,16,NO,CONFIRMED_STABLE,0.0000,22,1
Altinn/altinn-studio,15231,2104051169,frontend/packages/process-editor/src/components/ConfigPanel/ConfigContent/EditCorrespondenceResource/EditCorrespondenceResource.test.tsx,HRH,tsx,True,1.0000,0.6000,97caf0a,60-60,True,1.0000,0.8073,97caf0a,60-60,2,82,80,NO,CONFIRMED_STABLE,0.0000,60,1
Altinn/altinn-studio,15231,2106881462,frontend/packages/process-editor/src/components/ConfigPanel/ConfigContent/EditUserControlledImplementation/index.ts,HRH,ts,True,1.0000,0.4286,4445663,1-1,True,1.0000,0.6094,4445663,1-1,1,2,1,NO,CONFIRMED_STABLE,0.0000,1,1
Altinn/altinn-studio,15231,2106886069,frontend/packages/process-editor/src/components/ConfigPanel/ConfigContent/EditCorrespondenceResource/index.ts,HRH,ts,True,1.0000,0.4286,0140071,1-1,True,0.9960,0.6151,0902206,1-1,1,3,1,NO,CONFIRMED_STABLE,-0.0040,1,1
Altinn/altinn-studio,15247,2071472080,frontend/libs/studio-content-library/src/ContentLibrary/LibraryBody/pages/CodeListPage/CodeListsActionsBar/AddCodeListDropdown/utils.ts,HRH,ts,True,1.0000,0.3333,8f03ea5,6-6,True,0.9846,1.0000,8f03ea5,6-6,7,40,30,NO,CONFIRMED_STABLE,-0.0154,6,1
Altinn/altinn-studio,15247,2071491742,frontend/libs/studio-content-library/src/test-data/externalResources.ts,HRH,ts,True,1.0000,0.3333,8f03ea5,13-13,True,0.9739,0.6133,8f03ea5,13-13,1,50,39,NO,CONFIRMED_STABLE,-0.0261,13,1
Altinn/altinn-studio,15255,2063209811,frontend/libs/studio-components/src/components/StudioHelpText/StudioHelpText.tsx,HRH,tsx,True,1.0000,0.8000,b08b7c9,33-33,True,0.9739,0.8634,be0975a,31-31,0,45,36,NO,CONFIRMED_STABLE,-0.0261,33,1
Altinn/altinn-studio,15255,2094888604,frontend/app-development/layout/PageHeader/SubHeader/SettingsModalButton/SettingsModal/components/Tabs/AccessControlTab/AccessControlTab.module.css,HRH,css,True,1.0000,0.3333,15eb710,7-7,True,0.9818,0.6667,15eb710,7-7,1,5,4,NO,CONFIRMED_STABLE,-0.0182,7,1
