repo,pr_number,thread_id,pr_author,pr_created_at,comment_count,turn_type,review_category,turn_sequence_roles,comment_sequence,max_gap_hours,first_response_hours,agent_suggestion_present,mentioned_files,linked_commits,linked_commit_windows,pr_merged,pr_merge_timestamp,pr_closed_at
APSIMInitiative/ApsimX,10365,2299819987,Human(ric394),2025-08-26T02:25:30+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2299819987,2025-08-26T05:26:27+00:00,created)",,3.016,true,,,,true,2025-08-28T05:23:12Z,2025-08-28T05:23:12+00:00
APSIMInitiative/ApsimX,10365,2299820002,Human(ric394),2025-08-26T02:25:30+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2299820002,2025-08-26T05:26:27+00:00,created)",,3.016,true,,,,true,2025-08-28T05:23:12Z,2025-08-28T05:23:12+00:00
APSIMInitiative/ApsimX,10369,2299669299,Human(ric394),2025-08-26T03:21:26+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2299669299,2025-08-26T03:42:24+00:00,created)",,0.349,true,,,,true,2025-08-29T03:38:26Z,2025-08-29T03:38:26+00:00
APSIMInitiative/ApsimX,10371,2302777197,Human(zur003),2025-08-26T12:28:01+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302777197,2025-08-27T04:00:41+00:00,created)",,15.544,true,,,,true,2025-09-02T01:20:06Z,2025-09-02T01:20:06+00:00
APSIMInitiative/ApsimX,10371,2302777205,Human(zur003),2025-08-26T12:28:01+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302777205,2025-08-27T04:00:41+00:00,created)",,15.544,true,,,,true,2025-09-02T01:20:06Z,2025-09-02T01:20:06+00:00
APSIMInitiative/ApsimX,10371,2302777207,Human(zur003),2025-08-26T12:28:01+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302777207,2025-08-27T04:00:42+00:00,created)",,15.545,true,,,,true,2025-09-02T01:20:06Z,2025-09-02T01:20:06+00:00
APSIMInitiative/ApsimX,10372,2302750663,Human(hol353),2025-08-26T23:21:21+00:00,1,single-turn,Human_Review_Human,H(PR)->H,"Human(ric394,2302750663,2025-08-27T03:33:32+00:00,created)",,4.203,false,,,,true,2025-08-31T22:40:28Z,2025-08-31T22:40:28+00:00
APSIMInitiative/ApsimX,10372,2302753248,Human(hol353),2025-08-26T23:21:21+00:00,1,single-turn,Human_Review_Human,H(PR)->H,"Human(ric394,2302753248,2025-08-27T03:36:42+00:00,created)",,4.256,false,,,,true,2025-08-31T22:40:28Z,2025-08-31T22:40:28+00:00
APSIMInitiative/ApsimX,10372,2302767661,Human(hol353),2025-08-26T23:21:21+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302767661,2025-08-27T03:50:01+00:00,created)",,4.478,true,,,,true,2025-08-31T22:40:28Z,2025-08-31T22:40:28+00:00
APSIMInitiative/ApsimX,10372,2302767665,Human(hol353),2025-08-26T23:21:21+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302767665,2025-08-27T03:50:02+00:00,created)",,4.478,true,,,,true,2025-08-31T22:40:28Z,2025-08-31T22:40:28+00:00
APSIMInitiative/ApsimX,10372,2302767669,Human(hol353),2025-08-26T23:21:21+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302767669,2025-08-27T03:50:02+00:00,created)",,4.478,true,,,,true,2025-08-31T22:40:28Z,2025-08-31T22:40:28+00:00
APSIMInitiative/ApsimX,10372,2302767673,Human(hol353),2025-08-26T23:21:21+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302767673,2025-08-27T03:50:02+00:00,created)",,4.478,true,,,,true,2025-08-31T22:40:28Z,2025-08-31T22:40:28+00:00
